"Name_name","Name_Description","Name_Price","Name_Bedbaths","Name_bedba_name","Name_Image_Url","Name_Image_Url_url","Name_Distance","Name_Distance_url"
"1 Bed Flat, Beaumond Buildings, WC2B","A beautiful studio flat in Covent Garden, a minute walk to all the city funs. The flat is in a safely gated block in a qu ...","£1,517 per month","1 Bed","1 Bed","https://d10hbub4nkludc.cloudfront.net/images/NoImageImage4x3.png","https://www.openrent.co.uk/1311960","0.87 km","https://www.openrent.co.uk/1311960"
"1 Bed Flat, Beaumond Buildings, WC2B","A beautiful studio flat in Covent Garden, a minute walk to all the city funs. The flat is in a safely gated block in a qu ...","£1,517 per month","1 Bed","1 Bath","https://d10hbub4nkludc.cloudfront.net/images/NoImageImage4x3.png","https://www.openrent.co.uk/1311960","0.87 km","https://www.openrent.co.uk/1311960"
"1 Bed Flat, Beaumond Buildings, WC2B","A beautiful studio flat in Covent Garden, a minute walk to all the city funs. The flat is in a safely gated block in a qu ...","£1,517 per month","1 Bed","Furnished","https://d10hbub4nkludc.cloudfront.net/images/NoImageImage4x3.png","https://www.openrent.co.uk/1311960","0.87 km","https://www.openrent.co.uk/1311960"
"2 Bed Penthouse, Drury Lane, WC2B","Available end of May. Fully Furnished Covent Garden 2-Bed 2-Bath Penthouse with Terraces (Virtual Video Viewing available - ...","£3,890 per month","2 Beds","2 Beds","https://d10hbub4nkludc.cloudfront.net/images/NoImageImage4x3.png","https://www.openrent.co.uk/1274522","0.94 km","https://www.openrent.co.uk/1274522"
"2 Bed Penthouse, Drury Lane, WC2B","Available end of May. Fully Furnished Covent Garden 2-Bed 2-Bath Penthouse with Terraces (Virtual Video Viewing available - ...","£3,890 per month","2 Beds","2 Baths","https://d10hbub4nkludc.cloudfront.net/images/NoImageImage4x3.png","https://www.openrent.co.uk/1274522","0.94 km","https://www.openrent.co.uk/1274522"
"2 Bed Penthouse, Drury Lane, WC2B","Available end of May. Fully Furnished Covent Garden 2-Bed 2-Bath Penthouse with Terraces (Virtual Video Viewing available - ...","£3,890 per month","2 Beds","Furnished","https://d10hbub4nkludc.cloudfront.net/images/NoImageImage4x3.png","https://www.openrent.co.uk/1274522","0.94 km","https://www.openrent.co.uk/1274522"
"2 Bed Flat, East Block, SE1","Available 01/04/2022, this two bedroom (currently 1 master ensuite and 1 study room, which can be converted into bedroom if ...","£3,500 per month","2 Beds","2 Beds","https://d10hbub4nkludc.cloudfront.net/images/NoImageImage4x3.png","https://www.openrent.co.uk/1315559","0.94 km","https://www.openrent.co.uk/1315559"
"2 Bed Flat, East Block, SE1","Available 01/04/2022, this two bedroom (currently 1 master ensuite and 1 study room, which can be converted into bedroom if ...","£3,500 per month","2 Beds","2 Baths","https://d10hbub4nkludc.cloudfront.net/images/NoImageImage4x3.png","https://www.openrent.co.uk/1315559","0.94 km","https://www.openrent.co.uk/1315559"
"2 Bed Flat, East Block, SE1","Available 01/04/2022, this two bedroom (currently 1 master ensuite and 1 study room, which can be converted into bedroom if ...","£3,500 per month","2 Beds","Furnished","https://d10hbub4nkludc.cloudfront.net/images/NoImageImage4x3.png","https://www.openrent.co.uk/1315559","0.94 km","https://www.openrent.co.uk/1315559"
"1 Bed Flat, Macklin Street, WC2B","SHORT LET Very clean, stylish and well - equipped apartment by Covent Garden tube, and close to Trafalgar Square. Super cen ...","£2,850 per month","1 Bed","1 Bed","https://d10hbub4nkludc.cloudfront.net/images/NoImageImage4x3.png","https://www.openrent.co.uk/900045","0.97 km","https://www.openrent.co.uk/900045"
"1 Bed Flat, Macklin Street, WC2B","SHORT LET Very clean, stylish and well - equipped apartment by Covent Garden tube, and close to Trafalgar Square. Super cen ...","£2,850 per month","1 Bed","1 Bath","https://d10hbub4nkludc.cloudfront.net/images/NoImageImage4x3.png","https://www.openrent.co.uk/900045","0.97 km","https://www.openrent.co.uk/900045"
"1 Bed Flat, Macklin Street, WC2B","SHORT LET Very clean, stylish and well - equipped apartment by Covent Garden tube, and close to Trafalgar Square. Super cen ...","£2,850 per month","1 Bed","Furnished","https://d10hbub4nkludc.cloudfront.net/images/NoImageImage4x3.png","https://www.openrent.co.uk/900045","0.97 km","https://www.openrent.co.uk/900045"
"1 Bed Flat, Aldwych Buildings, WC2B","Available now - a superb one bedroom ground floor apartment with outside space situated close to the heart of Covent Garden ...","£1,650 per month","1 Bed","1 Bed","https://d10hbub4nkludc.cloudfront.net/images/NoImageImage4x3.png","https://www.openrent.co.uk/997959","0.99 km","https://www.openrent.co.uk/997959"
"1 Bed Flat, Aldwych Buildings, WC2B","Available now - a superb one bedroom ground floor apartment with outside space situated close to the heart of Covent Garden ...","£1,650 per month","1 Bed","1 Bath","https://d10hbub4nkludc.cloudfront.net/images/NoImageImage4x3.png","https://www.openrent.co.uk/997959","0.99 km","https://www.openrent.co.uk/997959"
"1 Bed Flat, Aldwych Buildings, WC2B","Available now - a superb one bedroom ground floor apartment with outside space situated close to the heart of Covent Garden ...","£1,650 per month","1 Bed","Furnished","https://d10hbub4nkludc.cloudfront.net/images/NoImageImage4x3.png","https://www.openrent.co.uk/997959","0.99 km","https://www.openrent.co.uk/997959"
"3 Bed Flat, Oxford Street, W1D","Price shown is for a long let of one year excluding bills. For short let’s it’s £4,000 per week including bills. CURRENTLY ...","£8,320 per month","3 Beds","3 Beds","https://d10hbub4nkludc.cloudfront.net/images/NoImageImage4x3.png","https://www.openrent.co.uk/1292403","1.07 km","https://www.openrent.co.uk/1292403"
"3 Bed Flat, Oxford Street, W1D","Price shown is for a long let of one year excluding bills. For short let’s it’s £4,000 per week including bills. CURRENTLY ...","£8,320 per month","3 Beds","2 Baths","https://d10hbub4nkludc.cloudfront.net/images/NoImageImage4x3.png","https://www.openrent.co.uk/1292403","1.07 km","https://www.openrent.co.uk/1292403"
"3 Bed Flat, Oxford Street, W1D","Price shown is for a long let of one year excluding bills. For short let’s it’s £4,000 per week including bills. CURRENTLY ...","£8,320 per month","3 Beds","Furnished","https://d10hbub4nkludc.cloudfront.net/images/NoImageImage4x3.png","https://www.openrent.co.uk/1292403","1.07 km","https://www.openrent.co.uk/1292403"
"2 Bed Flat, Berkeley Street, W1J","Located on the Fourth Floor, this two bedroom apartment has a contemporary, sophisticated feel and offers the finest qualit ...","£6,750 per month","2 Beds","2 Beds","https://d10hbub4nkludc.cloudfront.net/images/NoImageImage4x3.png","https://www.openrent.co.uk/1306262","1.1 km","https://www.openrent.co.uk/1306262"
"2 Bed Flat, Berkeley Street, W1J","Located on the Fourth Floor, this two bedroom apartment has a contemporary, sophisticated feel and offers the finest qualit ...","£6,750 per month","2 Beds","3 Baths","https://d10hbub4nkludc.cloudfront.net/images/NoImageImage4x3.png","https://www.openrent.co.uk/1306262","1.1 km","https://www.openrent.co.uk/1306262"
"2 Bed Flat, Berkeley Street, W1J","Located on the Fourth Floor, this two bedroom apartment has a contemporary, sophisticated feel and offers the finest qualit ...","£6,750 per month","2 Beds","Furnished","https://d10hbub4nkludc.cloudfront.net/images/NoImageImage4x3.png","https://www.openrent.co.uk/1306262","1.1 km","https://www.openrent.co.uk/1306262"
"Room in a Shared House, Willoughby Street, WC1A","We are proud to offer this delightful 1 bedroom, 1 bathroom studio flat in a great location. Available to move in from 18 ...","£1,473 per month","1 Bath","1 Bath","https://d10hbub4nkludc.cloudfront.net/images/NoImageImage4x3.png","https://www.openrent.co.uk/1323704","1.15 km","https://www.openrent.co.uk/1323704"
"Room in a Shared House, Willoughby Street, WC1A","We are proud to offer this delightful 1 bedroom, 1 bathroom studio flat in a great location. Available to move in from 18 ...","£1,473 per month","1 Bath","Furnished","https://d10hbub4nkludc.cloudfront.net/images/NoImageImage4x3.png","https://www.openrent.co.uk/1323704","1.15 km","https://www.openrent.co.uk/1323704"
